like,love,haha,wow,care,sad,angry,post_id,total
11374,580,2808,68,36,2015,1,723387389821974,16882
7454,72,89,55,6,1668,5,723338229826890,9349
13084,5456,87,19,154,4,1,723295193164527,18805
413,63,2,0,2,0,1,723262266501153,481
5581,41,2602,27,16,3361,14,723213616506018,11642
2329,23,2849,6,6,52,1,723083116519068,5266
1869,11,3400,4,5,53,1,723031193190927,5343
1072,24,562,2,3,1,1,722803289880384,1665
14209,5268,140,7,149,5,2,722775413216505,19780
2228,20,3416,2,5,396,1,722726506554729,6068
13737,7197,223,7,394,3,1,722656156561764,21562
2295,23,1791,0,4,309,1,722634336563946,4423
2497,403,1273,1,29,19,2,722284349932278,4224
11594,103,8536,14,17,26,1,722223256605054,20291
6163,1408,15,8,27,1,1,722196933274353,7623
1261,32,823,2,7,1,1,722158106611569,2127
1070,9,396,4,2,10,4,722132379947475,1495
253,1,498,0,0,2,1,722090046618375,755
4471,67,6946,3,14,26,2,721969063297140,11529
1314,64,987,2,6,4,1,721680996659280,2378
4757,1476,25,0,70,7,1,721633823330664,6336
1336,11,2466,2,2,41,2,721503786677001,3860
1487,386,4,0,9,0,1,721429853351061,1887
8257,2030,361,125,43,9,1,721399736687406,10826
106,14,1,0,0,1,1,721147153379331,123
726,9,864,1,0,8,1,721148416712538,1609
3736,104,4941,4,31,19,1,721146596712720,8836
2315,9,3370,3,9,91,1,721080253386021,5798
4310,14,4478,6,9,680,2,721024420058271,9499
2718,1055,16,1,1,4,1,720917790068934,3796
3161,31,5548,6,9,166,1,717284477098932,8922
5563,17,14054,10,11,285,2,717236333770413,19942
11815,4601,61,11,130,0,1,717183937108986,16619
1953,827,1,3,2,0,1,717130483780998,2787
7260,71,22,19,20,3255,18,716916933802353,10665
2402,13,1156,0,2,23,1,716902787137101,3597
1507,246,664,6,7,1,1,716880200472693,2432
1162,313,16,1,5,0,1,716861380474575,1498
1035,148,725,0,11,5,1,716824397144940,1925
3443,396,8,1,4,0,1,716787880481925,3853
828,2,637,4,1,318,2,716774890483224,1792
12918,271,9738,19,30,61,1,716769020483811,23038
9538,1924,7,18,62,0,1,716756070485106,11550
6443,23,10474,11,3,116,1,716704783823568,17071
1890,1188,2,0,0,0,2,716612613832785,3082
609,0,910,3,2,5,1,716356167191763,1530
3296,5,1592,9,1,1132,1,716353740525339,6036
5426,1703,182,2,39,1,1,716320190528694,7354
5824,2042,6,25,55,1,1,716276523866394,7954
449,8,372,0,4,0,1,716241713869875,834
524,0,663,0,0,73,1,716229420537771,1261
2395,475,1090,2,29,0,1,716164113877635,3992
2931,10,393,229,1,65,1,716043357223044,3630
4514,856,2292,4,34,6,1,715800980580615,7707
6295,40,1609,58,5,57,6,715787883915258,8070
1345,8,2162,2,4,13,1,715776770583036,3535
1198,3,310,10,0,6,1,715756717251708,1528
3165,739,1477,8,32,20,3,715740157253364,5444
888,399,0,0,0,0,1,715727557254624,1288
4635,962,3334,4,100,31,4,715700767257303,9070
3186,30,2694,1,4,14,1,715617263932320,5930
2792,645,6,2,11,0,1,715240933969953,3457
34874,1300,26885,65,168,175,10,715226890638024,63477
976,4,1015,3,1,2,1,715188713975175,2002
1627,85,2165,2,9,4,1,715161933977853,3893
872,212,30,5,2,0,1,715096063984440,1122
3578,143,4742,2,33,13,1,714982803995766,8512
876,228,0,1,19,140,1,714723677355012,1265
575,5,705,3,1,0,1,714711067356273,1290
3572,52,2419,7,7,43,1,714700957357284,6101
